FECHA,SORTEO,NÚMERO,SERIE,Unnamed: 4
2007-01-05,3834,3652,149,
2007-01-12,3835,9407,80,
2007-01-19,3836,9864,97,
2007-01-26,3837,5589,54,
2007-02-02,3838,1721,102,
2007-02-09,3839,5318,111,
2007-02-16,3840,3407,189,
2007-02-23,3841,5723,164,
2007-03-02,3842,1047,175,
2007-03-09,3843,1563,193,
2007-03-16,3844,1655,226,
2007-03-23,3845,957,190,
2007-03-30,3846,4055,211,
2007-04-04,3847,2680,87,
2007-04-13,3848,5208,159,
2007-04-20,3849,2485,52,
2007-04-27,3850,6373,93,
2007-05-04,3851,2902,146,
2007-05-11,3852,8235,142,
2007-05-18,3853,900,189,
2007-05-25,3854,1407,166,
2007-06-01,3855,3697,9,
2007-06-08,3856,252,209,
2007-06-15,3857,8259,16,
2007-06-22,3858,4101,200,
2007-06-29,3859,1944,211,
2007-07-06,3860,1545,64,
2007-07-13,3861,1364,97,
2007-07-21,3862,2086,183,
2007-07-27,3863,5028,16,
2007-08-03,3864,6327,208,
2007-08-10,3865,9141,120,
2007-08-17,3866,9371,180,
2007-08-24,3867,9482,157,
2007-08-31,3868,6090,234,
2007-09-07,3869,8251,207,
2007-09-14,3870,2522,7,
2007-09-21,3871,7265,224,
2007-09-28,3872,372,36,
2007-10-05,3873,5490,37,
2007-10-12,3874,7875,136,
2007-10-19,3875,880,112,
2007-10-26,3876,3108,85,
2007-11-02,3877,2820,104,
2007-11-09,3878,2025,229,
2007-11-16,3879,1544,101,
2007-11-23,3880,3730,233,
2007-11-30,3881,3055,115,
2007-12-07,3882,4123,16,
2007-12-14,3883,5699,49,
2007-12-21,3884,3243,191,
2007-12-28,3885,149,190,
2008-01-04,3886,7113,115,
2008-01-11,3887,2912,186,
2008-01-18,3888,8413,134,
2008-01-25,3889,8767,73,
2008-02-01,3890,2057,217,
2008-02-08,3891,34,148,
2008-02-15,3892,8919,3,
2008-02-22,3893,3776,83,
2008-02-29,3894,4755,58,
2008-03-07,3895,1865,158,
2008-03-14,3896,1363,125,
2008-03-22,3897,3036,219,
2008-03-28,3898,9511,193,
2008-04-04,3899,5379,44,
2008-04-11,3900,9234,210,
2008-04-18,3901,6549,105,
2008-04-25,3902,4169,174,
2008-05-02,3903,3324,202,
2008-05-09,3904,3704,90,
2008-05-16,3905,5329,129,
2008-05-23,3906,1828,164,
2008-05-30,3907,1678,246,
2008-06-06,3908,9591,8,
2008-06-13,3909,5327,128,
2008-06-20,3910,9541,165,
2008-06-27,3911,2852,23,
2008-07-04,3912,9603,237,
2008-07-11,3913,7972,194,
2008-07-18,3914,9435,108,
2008-07-25,3915,9717,238,
2008-08-01,3916,1022,143,
2008-08-08,3917,4122,121,
2008-08-15,3918,9332,133,
2008-08-22,3919,7631,235,
2008-08-29,3920,7827,99,
2008-09-05,3921,7780,85,
2008-09-12,3922,6499,170,
2008-09-19,3923,3839,180,
2008-09-26,3924,170,237,
2008-10-03,3925,7049,249,
2008-10-10,3926,7944,121,
2008-10-17,3927,1885,33,
2008-10-24,3928,4895,182,
2008-10-31,3929,9014,188,
2008-11-07,3930,9472,216,
2008-11-14,3931,2234,35,
2008-11-21,3932,9993,242,
2008-11-28,3933,2356,132,
2008-12-05,3934,6064,74,
2008-12-12,3935,4178,71,
2008-12-19,3936,5468,101,
2008-12-26,3937,3045,153,
2009-01-02,3938,1363,68,
2009-01-09,3939,2868,152,
2009-01-16,3940,1983,246,
